Stations_ID;Datum;Qualitaet;Min_5cm;Min_2m;Mittel_2m;Max_2m;Relative_Feuchte;Mittel_Windstaerke;Max_Windgeschwindigkeit;Sonnenscheindauer;Mittel_Bedeckungsgrad;Niederschlagshoehe;Mittel_Luftdruck;
102;2017-09-16;3;;10,6;12,1;14,1;91,17;5,6;10,4;0,3;;;1004,75;
102;2017-09-17;3;;11,3;12,8;15,5;82,58;4,2;11,9;7,217;;;1008,6;
102;2017-09-18;3;;11,2;13,2;16,4;77;3;6,5;10,867;;;1009,56;
102;2017-09-19;3;;12,2;14;15,2;78,58;5,4;17,1;3,95;;;1011,87;
102;2017-09-20;3;;12,2;13,9;15,2;83,25;9,2;16,8;0,767;;;1013,38;
102;2017-09-21;3;;13;14,8;17;81,33;5,3;10,2;0,267;;;1015,73;
102;2017-09-22;3;;14,1;15,3;17,5;82,87;3;4,9;1,267;;;1016,59;
102;2017-09-23;3;;14,7;15,6;17,5;83,21;3;6,8;6,35;;;1019,62;
102;2017-09-24;3;;14;15;16,1;88,79;4;9,7;3,217;;;1020,24;
102;2017-09-25;3;;13,7;15,4;18;90,75;6,4;11,1;1,433;;;1019,5;
102;2017-09-26;3;;13,8;14,7;15,9;89,17;6,7;11,2;0,05;;;1021;
102;2017-09-27;3;;13,1;14,7;15,9;90,25;6,3;10,4;0,067;;;1021,47;
102;2017-09-28;3;;12,6;14,4;15,8;97,67;6,4;9,1;0;;;1019,73;
102;2017-09-29;3;;14,4;16,4;19;93,29;6,5;11,8;0,067;;;1015,85;
102;2017-09-30;3;;12,7;15,3;17,5;93,78;7;18,4;0,283;;;1010,88;
102;2017-10-01;3;;11,9;14,3;16,7;81,08;9,2;18,2;9,95;;;1013,16;
102;2017-10-02;3;;12,6;14,5;16,4;84;14,8;21,9;1,167;;;1002,67;
102;2017-10-03;3;;12,4;14,4;15,3;72,88;13,7;20,4;4,467;;;1007,99;
102;2017-10-04;3;;10,4;13,2;14,6;80,88;16;29,4;0;;;1008,38;
102;2017-10-05;3;;7,9;12,7;15,4;82,88;17,1;33,6;1,85;;;998,18;
102;2017-10-06;3;;10,1;13,6;14,6;74,58;15,7;26,4;3,733;;;1007,85;
102;2017-10-07;3;;10,3;12,6;14,6;86,88;13,9;20,1;0;;;1004,97;
102;2017-10-08;3;;12;13,1;13,7;66,83;8,8;15,1;7,5;;;1009,37;
102;2017-10-09;3;;10,6;11,9;13,1;86,58;4,9;13,7;0,267;;;1012,22;
102;2017-10-10;3;;12,3;13,4;14,3;95,63;10,5;16,3;1,017;;;1006,8;
102;2017-10-11;3;;13,6;14,4;15,3;89,33;12,9;19,7;0;;;1005,15;
102;2017-10-12;3;;11,3;13,8;15;74,5;16,7;28,4;5,817;;;1009,01;
102;2017-10-13;3;;10,9;13,8;16,2;90,17;9,1;13,1;4,183;;;1016,82;
102;2017-10-14;3;;14,1;15,6;16,6;93,42;9,5;13,8;0,417;;;1018,57;
102;2017-10-15;3;;13,2;15,8;19,8;87,83;7,7;11,3;9,567;;;1017,15;
102;2017-10-16;3;;14;16,8;20,4;84,83;7,6;11,6;7,717;;;1014,5;
102;2017-10-17;3;;12,3;14,6;18,4;80,67;10,3;15,1;1,85;;;1013,32;
102;2017-10-18;3;;11,2;12,9;14,4;90;4,5;10,2;2,783;;;1010,76;
102;2017-10-19;3;;11,9;13,5;16,2;92,42;7;10,6;1,533;;;1007,41;
102;2017-10-20;3;;12,2;13,7;15,6;88,92;10,4;15,9;2,167;;;1003,7;
102;2017-10-21;3;;11,4;12,4;14;91,67;9,3;15,4;0,017;;;1005,05;
102;2017-10-22;3;;9,8;11,6;13,2;85,13;10,7;16,9;2,283;;;1002,8;
102;2017-10-23;3;;11,2;12,3;13,7;93,5;7,6;16,7;1,25;;;1008,47;
102;2017-10-24;3;;10,1;13,1;15,9;97,33;9,5;17,1;0;;;1012,9;
102;2017-10-25;3;;12,2;14,3;15,6;89,08;12,1;21,5;1,65;;;1011,99;
102;2017-10-26;3;;11,5;13,1;14;85,75;11,4;19,7;0,383;;;1015,65;
102;2017-10-27;3;;11,1;12,6;13,4;73,63;14,8;21,6;3,65;;;1017,56;
102;2017-10-28;3;;10,8;13;14,5;77,63;18,4;35,5;0;;;1005,52;
102;2017-10-29;3;;7,4;11,1;13,4;64,83;22,4;39,8;4,95;;;1001,82;
102;2017-10-30;3;;6,2;9,8;10,6;64,75;12,3;23,5;4,367;;;1017,78;
102;2017-10-31;3;;8,6;9,8;11,2;87,63;9,5;15,4;0,083;;;1017,11;
102;2017-11-01;3;;10,4;12;13,2;93,58;12,2;20,4;0,217;;;1011,07;
102;2017-11-02;3;;10,4;11,7;12,8;81,33;8,4;14,6;5,95;;;1006,48;
102;2017-11-03;3;;8,9;10,1;11,3;91,08;5,9;10,4;0,183;;;1010,06;
102;2017-11-04;3;;7,9;10,1;12,3;90,92;8;14,9;1,583;;;1001,73;
102;2017-11-05;3;;7,9;10,2;12,3;77,5;9;14,9;0,1;;;1002,18;
102;2017-11-06;3;;8,1;9,5;10,4;70,88;4,8;12,9;5,317;;;1017,1;
102;2017-11-07;3;;3,7;6;8,9;91,71;6,4;10,7;2,383;;;1019,79;
102;2017-11-08;3;;6;7,6;9,3;88,42;5,3;8,1;0,317;;;1017,14;
102;2017-11-09;3;;7;8,9;11,7;88,33;8,7;17,6;1,217;;;1014,5;
102;2017-11-10;3;;6,4;8,9;10,7;81;14,9;29,9;0,383;;;1003,75;
102;2017-11-11;3;;5,9;8,2;9,5;68,42;13,1;23,3;2,717;;;999,89;
102;2017-11-12;3;;5,3;7,2;9,6;79,75;8,9;19,4;0;;;996,78;
102;2017-11-13;3;;7,2;8,4;9,7;70,71;4,9;10,8;6,683;;;1010,15;
102;2017-11-14;3;;5,8;7,9;9,5;91,04;10,1;19,5;0,167;;;1014,54;
102;2017-11-15;3;;8,7;9,8;11,7;96,83;6,1;14;0,467;;;1018,89;
102;2017-11-16;3;;8,3;9,3;10,8;95,04;8,9;18,1;0;;;1016,51;
102;2017-11-17;3;;7,1;8,9;10,2;70,33;9,8;16,6;4,467;;;1018,81;
102;2017-11-18;3;;5,3;7,6;9,3;77,25;15,9;26,8;0,45;;;1007,08;
102;2017-11-19;3;;4,9;8,5;10;73,25;17,4;31,4;1,75;;;1004,78;
102;2017-11-20;3;;4,5;6,4;8,9;83,58;9,7;20,5;0;;;1007,87;
102;2017-11-21;3;;5,1;6,6;10,7;98,61;5,4;14,3;0;;;1003,08;
102;2017-11-22;3;;9,8;10,4;11,4;89,63;13,8;18,9;0,483;;;996,67;
102;2017-11-23;3;;7,9;10,1;12,7;76,13;14,3;22;0,917;;;994,06;
102;2017-11-24;3;;5,3;7,4;8,9;84,5;8,7;17;1,517;;;1003,59;
102;2017-11-25;3;;4;5,9;6,9;79,79;8,3;20,8;3,517;;;1005,38;
102;2017-11-26;3;;3,5;5,4;7,9;86,04;13,6;23;1,783;;;1008,63;
102;2017-11-27;3;;4;5,8;7,9;90,29;13,7;19,9;0;;;1002,27;
102;2017-11-28;3;;4,7;6,1;8,3;87,3;14;28,4;2,217;;;993,42;
102;2017-11-29;3;;3,4;4,6;6,3;91,83;7,4;12,5;0,55;;;998,52;
102;2017-11-30;3;;1,9;3,1;4,3;93,33;5,9;9,1;0;;;999,09;
102;2017-12-01;3;;1,8;3,2;4,1;86,67;4,6;9,1;0,917;;;1012,28;
102;2017-12-02;3;;-0,1;1,4;3,8;97,42;8,4;17,9;0;;;1019,46;
102;2017-12-03;3;;2,1;6,7;9,2;86,46;11,6;18,7;0,467;;;1014,52;
102;2017-12-04;3;;5,8;8,1;9;77,08;11,7;24,9;1,183;;;1019,67;
102;2017-12-05;3;;7,3;8,3;9,3;92,13;12,8;19,2;0;;;1022,75;
102;2017-12-06;3;;7,1;8,1;9;83,79;14,5;20,6;0;;;1018,33;
102;2017-12-07;3;;4,9;6,4;8,6;84,04;16,7;24,6;0;;;1002,44;
102;2017-12-08;3;;1;4,1;8,3;84,26;12,9;21,4;0,333;;;996,83;
102;2017-12-09;3;;0,9;4,7;7,4;78,42;14,8;24,4;1,467;;;998,36;
102;2017-12-10;3;;-0,1;1;1,9;88,42;13,2;19,1;0,017;;;982,74;
102;2017-12-11;3;;0,1;1,5;2,3;86,46;10,4;20,1;0;;;979,97;
102;2017-12-12;3;;1;3,4;6;83,91;10,3;19,4;0;;;994,33;
102;2017-12-13;3;;1,1;2,6;4,7;94,29;14,1;21,8;0;;;992,32;
102;2017-12-14;3;;1,6;3,9;7;89,79;13,3;25,7;0,183;;;981,19;
102;2017-12-15;3;;1,9;2,8;4,1;93,29;8;13,4;0;;;990,5;
102;2017-12-16;3;;2;4,2;5,9;83,17;7,1;18;1,517;;;1002,17;
102;2017-12-17;3;;2,5;4;5,7;82,42;6,7;16,3;3,217;;;1014,19;
102;2017-12-18;3;;2;2,8;5,3;92,83;6,7;15,7;0;;;1018,8;
102;2017-12-19;3;;5,3;6;7,1;96,29;6,6;11,6;0;;;1026,28;
102;2017-12-20;3;;5,9;6,5;7,3;99,96;6,6;13,8;0;;;1026,94;
102;2017-12-21;3;;5,4;6,7;7,7;98,04;7,4;13;0;;;1027,2;
102;2017-12-22;3;;3;5,7;7,3;97,46;7,9;15,2;0,717;;;1028,18;
102;2017-12-23;3;;3,2;6,4;7,4;99,83;17,5;25,4;0;;;1020,23;
102;2017-12-24;3;;6,8;7,9;8,9;95,75;17,8;23,9;0;;;1012,75;
102;2017-12-25;3;;5,9;7,9;8,7;88,08;14,2;19,2;0;;;1005,44;
102;2017-12-26;3;;4,6;5,7;6,8;81,5;15,4;26,2;2,7;;;990,64;
102;2017-12-27;3;;4;5;5,7;87,63;9,7;16,3;0;;;981,17;
102;2017-12-28;3;;2,7;4,7;6,3;83,42;12,6;20,9;1,9;;;987,32;
102;2017-12-29;3;;1,8;3;4,5;86,83;13,2;20,5;4,533;;;994,75;
102;2017-12-30;3;;2,8;5,3;7,9;92;13,8;25;0;;;989,25;
102;2017-12-31;3;;6,1;8,3;11;93,38;11,4;20,1;0;;;991,57;
102;2018-01-01;3;;5,2;6,5;8,3;86,04;13,1;26,1;1,583;;;990,76;
102;2018-01-02;3;;4,5;5,6;6,5;92,5;9,6;18,8;3,067;;;999,13;
102;2018-01-03;3;;4,4;6,5;8,6;89,88;18,1;29,8;1,533;;;977,37;
102;2018-01-04;3;;5,1;6,3;7,5;94,83;9,7;23,6;0,05;;;985,23;
102;2018-01-05;3;;5;5,8;6,9;93,25;11,2;27,9;0,05;;;987,85;
102;2018-01-06;3;;1,9;4,1;5,9;86,88;7,9;12,3;0,617;;;1004,5;
102;2018-01-07;3;;0,2;1,5;2,6;75,92;8,6;11,9;6,95;;;1026,39;
102;2018-01-08;3;;-0,4;0,9;2,1;59,79;11,2;19,1;7,5;;;1027,3;
102;2018-01-09;3;;-0,4;1,7;3;68,29;10,2;17,6;2,283;;;1011,27;
102;2018-01-10;3;;2,2;4,3;6,4;92,25;6,1;9,3;0;;;1006,26;
102;2018-01-11;3;;2,9;3,9;5,9;96,25;4,6;7,7;1,317;;;1014,09;
102;2018-01-12;3;;1,7;2,4;3,5;97,58;7,8;10,8;0;;;1023,32;
102;2018-01-13;3;;0,3;1,8;2,6;93,92;9;13,1;0;;;1024,4;
102;2018-01-14;3;;0;0,6;1,5;76,04;10,2;18,1;2,667;;;1020,17;
102;2018-01-15;3;;0,3;2,6;6,1;88,13;14,7;20,2;0;;;998,03;
102;2018-01-16;3;;1,4;3,9;6;89,63;12,5;24,1;0,45;;;982,22;
102;2018-01-17;3;;0,3;2,9;5,5;89,46;12;22,8;1,55;;;988,4;
102;2018-01-18;3;;0,3;2,7;4,8;92,33;11;20,8;0;;;987,36;
102;2018-01-19;3;;1,4;2,7;3,9;92,88;8,8;16,9;3,633;;;998,96;
102;2018-01-20;3;;0,9;1,9;2,7;93,88;7,8;13;0,1;;;998,5;
102;2018-01-21;3;;0;1,2;2;97,5;5,3;11,3;0;;;1007,33;
102;2018-01-22;3;;0,9;2,3;5,5;97,42;6,6;12,3;0;;;1003,85;
102;2018-01-23;3;;4,8;6;8,6;95,96;10,1;17,8;0,183;;;1011,37;
102;2018-01-24;3;;5,9;9,6;12,8;91,29;14,3;25,7;0,017;;;1003,68;
102;2018-01-25;3;;5,9;7;7,9;89,42;9,3;14,7;0,233;;;1005,35;
102;2018-01-26;3;;2,7;4,4;7;98,63;4,7;8;0,567;;;1013,87;
102;2018-01-27;3;;4,3;5,1;5,9;89,29;9,9;24,3;0;;;1020,81;
102;2018-01-28;3;;5,5;7,1;9;95,04;15,9;23,6;0,3;;;1016,74;
102;2018-01-29;3;;5,8;7,6;10,2;90,54;16,4;24,8;0;;;1013,37;
102;2018-01-30;3;;3,4;5,4;6,1;86;10,7;21,2;5,067;;;1019,06;
102;2018-01-31;3;;2,9;5;7,9;90,5;12,3;23,8;0;;;996,65;
102;2018-02-01;3;;1,4;3,1;4,2;91,29;13,8;19,2;2,167;;;990,03;
102;2018-02-02;3;;1;3,2;4,6;92,13;9;15,4;0,583;;;995,86;
102;2018-02-03;3;;-1;0;1,7;75,88;6,1;11,8;0;;;1003,16;
102;2018-02-04;3;;0,2;1,3;2,3;79,96;12,5;20;0,217;;;1016,97;
102;2018-02-05;3;;-0,4;0,6;1,6;80,21;8,2;13,1;0,133;;;1025,41;
102;2018-02-06;3;;-1,7;-0,6;1,7;67,54;3,9;7,1;8,233;;;1015,02;
102;2018-02-07;3;;-1,9;-0,7;2,3;64,75;2,1;5,2;8,85;;;1014,47;
102;2018-02-08;3;;-1,9;-0,5;1;68,75;6,7;12,2;8,683;;;1015,6;
102;2018-02-09;3;;-1,2;0,4;2,7;79,67;9,2;12,6;7,65;;;1009,75;
102;2018-02-10;3;;-0,6;0,7;1,9;87,88;6,4;13,7;0,617;;;1008,56;
102;2018-02-11;3;;0,7;3,1;5,3;86,75;15,5;25,6;0,367;;;992,09;
102;2018-02-12;3;;1,5;3,2;4,8;81,13;12,3;21,4;2,967;;;1002,39;
102;2018-02-13;3;;0,1;2;4,2;81,46;8,9;11,8;8,95;;;1008,09;
102;2018-02-14;3;;-0,2;1,8;4;67,71;10,2;19,4;9,05;;;1012,2;
102;2018-02-15;3;;0,9;2,1;4,5;82,29;13,4;20,5;0;;;1006,91;
102;2018-02-16;3;;2,5;3,5;4,7;88,96;9,8;15,2;8,267;;;1016,78;
102;2018-02-17;3;;0,2;2;3,3;92,88;3,1;6,8;5,467;;;1021,35;
102;2018-02-18;3;;-1;1,8;4,2;86,71;6;9,3;7,967;;;1021,65;
102;2018-02-19;3;;1,5;2,9;6,6;81,54;3,7;7,9;3,05;;;1016,03;
102;2018-02-20;3;;1,3;2,8;5;82,13;4,5;9,8;5,767;;;1017,66;
102;2018-02-21;3;;0,7;1,9;4;75,5;4,3;7,2;7,2;;;1023,4;
102;2018-02-22;3;;0,4;1,5;2,2;83,79;2,9;8,6;0;;;1023,35;
102;2018-02-23;3;;-1,3;0,3;1,6;68,88;8,8;11,8;9,217;;;1023,23;
102;2018-02-24;3;;-2,3;0;1,8;67,29;10,5;15,4;4,683;;;1027,39;
102;2018-02-25;3;;-3,2;-2,4;-1,2;68,38;8,3;14,6;1,633;;;1030,13;
102;2018-02-26;3;;-4,1;-2,5;-0,7;67,33;10,5;16,1;3,883;;;1028,2;
102;2018-02-27;3;;-6,4;-3,4;-2,3;69,63;10,7;21,9;5,317;;;1021,36;
102;2018-02-28;3;;-8,4;-7,3;-5,7;54,71;14,1;20;10,183;;;1023,05;
102;2018-03-01;3;;-7,5;-5,5;-2,7;60,5;16,1;23,8;9,8;;;1014,27;
102;2018-03-02;3;;-8,1;-6;-3,1;68,29;13,7;19,9;7,483;;;1003,38;
102;2018-03-03;3;;-8;-5,2;-1,5;65,33;12,2;15,6;10,233;;;999,79;
102;2018-03-04;3;;-5,3;-2,3;1,3;70,25;9,9;15,2;1,983;;;995,4;
102;2018-03-05;3;;0,6;5,4;9,4;82,42;9,7;17,2;3,8;;;989,53;
102;2018-03-06;3;;1,1;4,4;6,7;78,29;6,7;10,3;8,55;;;988,99;
102;2018-03-07;3;;0,9;1,9;3,3;90,04;4,1;7,4;0;;;991;
102;2018-03-08;3;;1;3,4;7,4;93,04;8,5;15,4;4,8;;;992,54;
102;2018-03-09;3;;2,5;3,6;4,6;92,17;9,2;16,8;8,383;;;999,25;
102;2018-03-10;3;;2,2;5,4;12,4;95,21;7,6;11,4;0;;;996,93;
102;2018-03-11;3;;7,3;10,9;13,2;91;7,5;14,5;0,917;;;991,47;
102;2018-03-12;3;;3,6;8,3;11,3;96,48;3,6;8,1;0,667;;;988,17;
102;2018-03-13;3;;2,2;3,3;3,9;95,78;6,6;11,5;0;;;996,17;
102;2018-03-14;3;;2,6;3,7;6,2;78,75;5;10,9;3,883;;;1007,45;
102;2018-03-15;3;;1,5;2,8;4,5;82,79;14,5;21,5;2,467;;;1001,45;
102;2018-03-16;3;;-2,1;0,4;1,7;71,33;18,5;25,6;0;;;1005,13;
102;2018-03-17;3;;-3,9;-2,1;-0,7;64,96;19,6;27,5;7,55;;;1011,42;
102;2018-03-18;3;;-4,2;-1,8;0,5;52,92;17,2;26;11,117;;;1013,9;
102;2018-03-19;3;;-2,3;-0,2;3,7;62,67;7,3;14,7;11,45;;;1013,9;
102;2018-03-20;3;;1,5;2,5;3,7;75,21;10,6;17,9;11,85;;;1016,59;
102;2018-03-21;3;;2;2,7;3,3;92,83;7,6;17,8;2,967;;;1021,17;
102;2018-03-22;3;;1,1;2,9;4;99,42;9,7;18,9;0,333;;;1007,6;
102;2018-03-23;3;;2;4,3;6,2;94,52;5,4;8,9;0;;;1001,77;
102;2018-03-24;3;;3,7;5,8;8,8;85,75;4,3;6,4;1,7;;;1000,29;
102;2018-03-25;3;;0,9;5,4;7,6;83,42;3,7;6,9;0;;;1004,79;
102;2018-03-26;3;;0,7;2,3;3,4;96,58;4,6;9,2;3,967;;;1011,07;
102;2018-03-27;3;;0,2;4,5;8,1;79,63;4,8;10,2;5,783;;;1008,2;
102;2018-03-28;3;;0,3;2,7;5,5;92,42;10,5;16,9;0;;;998,1;
102;2018-03-29;3;;0,4;2;3,5;91,88;3,5;7;2,133;;;999,64;
102;2018-03-30;3;;0,3;3,1;7,2;84,58;10,6;16,9;5,283;;;1001,32;
102;2018-03-31;3;;1,5;2,6;3,8;87,04;9,9;16,6;0;;;998,16;
102;2018-04-01;3;;1,4;2,5;3,5;80,58;7,1;11,8;11,667;;;1004,27;
102;2018-04-02;3;;2,6;4,2;7,3;78,79;5,6;13,3;5,933;;;1003,57;
102;2018-04-03;3;;5,7;10,4;15,4;86,04;9;13,7;1,267;;;994,52;
